




Feature_Name	Target	Diameter	Center_Latitude	Center_Longitude	Coordinate_System	Approval_Status	Approval_Date	Origin	 
Simonelli	Pluto	286	12.79	314.76	Planetocentric  +East  0 - 360	Approved	2019-05-30 00:00:00.0	Damon; American astronomer; investigated the formation history of Pluto (1959–2004).	
Sleipnir Fossa	Pluto	508	23.7	234.51	Planetocentric  +East  0 - 360	Approved	2017-08-08 00:00:00.0	A powerful, eight-legged horse in Norse mythology who carried Odin into the Underworld.	
Sputnik Planitia	Pluto	1492	19.51	178.69	Planetocentric  +East  0 - 360	Approved	2017-08-08 00:00:00.0	Soviet Union's Sputnik 1 (literally Satellite 1), the first human-built satellite of the Earth (1957).	
Tabei Montes	Pluto	105	-11.73	164.33	Planetocentric  +East  0 - 360	Approved	2019-11-19 00:00:00.0	Junko Tabei, Japanese mountaineer and the first woman to climb both Mount Everest and the Seven Summits (1939–2016).	
Tartarus Dorsa	Pluto	850	8.5	233.09	Planetocentric  +East  0 - 360	Approved	2017-08-08 00:00:00.0	The deepest, darkest pit of the Underworld in Greek mythology.	
Tenzing Montes	Pluto	283	-15.61	177.38	Planetocentric  +East  0 - 360	Approved	2017-08-08 00:00:00.0	Tenzing Norgay; Nepalese (Sherpa) mountaineer (1914–1986).	
Tombaugh Regio	Pluto	2300	7.62	183.22	Planetocentric  +East  0 - 360	Approved	2017-08-08 00:00:00.0	Clyde William; American astronomer, discoverer of Pluto (1906–1997).	
Uncama Fossa	Pluto	227	23.96	142.62	Planetocentric  +East  0 - 360	Approved	2020-01-03 00:00:00.0	Zulu tale hero, who followed a porcupine underground and came upon the village of dead souls.	
Vega Terra	Pluto	1614	33.96	85.49	Planetocentric  +East  0 - 360	Approved	2019-05-30 00:00:00.0	A pair of the Soviet Union’s Vega 1 and Vega 2 spacecraft launched in 1984 that were the first ones to fly balloons on another planet (Venus, 1985) and then the first ones to image the nucleus of a comet (1P/Halley, 1986).	
Venera Terra	Pluto	742	56.89	117.62	Planetocentric  +East  0 - 360	Approved	2019-05-30 00:00:00.0	Series of the Soviet Union’s 16 spacecraft sent to Venus in 1961–1983. The missions accomplished a number of firsts, including the first human made device to enter the atmosphere of another planet (Venera 3, 1966), to measure in situ atmosphere composition of another planet (Venera 4, 1967), to make a soft landing on another planet (Venera 7, 1970), and to return images from another planetary surface (Venera 9, 1975).	
Virgil Fossae	Pluto	710	5.23	122.76	Planetocentric  +East  0 - 360	Approved	2017-08-08 00:00:00.0	Italian; Dante’s guide through Hell and Purgatory in the Divine Comedy of Dante Alighieri (1265–1321).	
Voyager Terra	Pluto	843	60.08	153.52	Planetocentric  +East  0 - 360	Approved	2017-08-08 00:00:00.0	A pair of US-launched Voyager 1 and Voyager 2 spacecraft that performed the “grand tour” of all four giant planets (1977-1989).	
Wright Mons	Pluto	165	-21.36	173.24	Planetocentric  +East  0 - 360	Approved	2019-05-30 00:00:00.0	Orville (1871–1948) and Wilbur (1867–1912), brothers, U.S. aviation pioneers who invented, built, and flew in 1903 the world’s first successful powered heavier-than-air flying machine (airplane) with a pilot aboard.	

